# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 508K of event 'cycles'
# Event count (approx.): 249210653757
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.14%  server   [kernel.kallsyms]    [k] move_addr_to_user                         
     0.14%  server   [kernel.kallsyms]    [k] tcp_rcv_state_process                     
     0.14%  server   [kernel.kallsyms]    [k] ip_local_deliver_finish                   
     0.14%  server   server               [.] 0x0000000000004244                        
     0.14%  server   [kernel.kallsyms]    [k] update_min_vruntime                       
     0.14%  server   [kernel.kallsyms]    [k] ip_output                                 
     0.14%  server   [kernel.kallsyms]    [k] sys_futex                                 
     0.14%  server   libc-2.19.so         [.] 0x000000000007fcff                        
     0.13%  server   [kernel.kallsyms]    [k] tcp_close                                 
     0.13%  server   [kernel.kallsyms]    [k] futex_wait_queue_me                       
     0.13%  server   [kernel.kallsyms]    [k] futex_wait                                
     0.13%  server   [kernel.kallsyms]    [k] inet_accept                               
     0.13%  server   [kernel.kallsyms]    [k] check_preempt_curr                        
     0.13%  server   [kernel.kallsyms]    [k] import_iovec                              
     0.13%  server   [kernel.kallsyms]    [k] kmem_cache_alloc_trace                    
     0.13%  server   [kernel.kallsyms]    [k] dev_hard_start_xmit                       
     0.13%  server   [kernel.kallsyms]    [k] udp_send_skb                              
     0.13%  server   [kernel.kallsyms]    [k] sock_queue_rcv_skb                        
     0.13%  server   [kernel.kallsyms]    [k] native_sched_clock                        
     0.13%  server   [kernel.kallsyms]    [k] native_read_tsc                           
     0.13%  server   libc-2.19.so         [.] 0x000000000007fceb                        
     0.13%  server   [kernel.kallsyms]    [k] _find_next_bit.part.0                     
     0.13%  server   [kernel.kallsyms]    [k] __tcp_get_metrics                         
     0.13%  server   libc-2.19.so         [.] 0x000000000007e8da                        
     0.13%  server   [kernel.kallsyms]    [k] del_timer                                 
     0.12%  server   [kernel.kallsyms]    [k] _cond_resched                             
     0.12%  server   [kernel.kallsyms]    [k] __bitmap_intersects                       
     0.12%  server   [kernel.kallsyms]    [k] SYSC_accept4                              
     0.12%  server   [kernel.kallsyms]    [k] update_cfs_rq_blocked_load                
     0.12%  server   [kernel.kallsyms]    [k] sk_stop_timer                             
     0.12%  server   [kernel.kallsyms]    [k] pick_next_task_fair                       
     0.12%  server   [kernel.kallsyms]    [k] __calc_delta                              
     0.12%  server   [kernel.kallsyms]    [k] ep_remove                                 
     0.11%  server   [kernel.kallsyms]    [k] tcp_update_metrics                        
     0.11%  server   libstdc++.so.6.0.21  [.] 0x00000000000bf4b0                        
     0.11%  server   [kernel.kallsyms]    [k] inet_put_port                             
     0.11%  server   [kernel.kallsyms]    [k] tcp_send_fin                              
     0.11%  server   [kernel.kallsyms]    [k] __get_user_4                              
     0.11%  server   libc-2.19.so         [.] 0x0000000000080406                        
     0.11%  server   [kernel.kallsyms]    [k] loopback_xmit                             
     0.11%  server   [kernel.kallsyms]    [k] tcp_rearm_rto.part.58                     
     0.11%  server   [kernel.kallsyms]    [k] dequeue_entity                            
     0.11%  server   [kernel.kallsyms]    [k] ip_send_check                             
     0.11%  server   libstdc++.so.6.0.21  [.] 0x0000000000067e50                        
     0.11%  server   [kernel.kallsyms]    [k] account_entity_dequeue                    
     0.11%  server   [kernel.kallsyms]    [k] ipv4_mtu                                  
     0.11%  server   libc-2.19.so         [.] 0x0000000000088bef                        
     0.10%  server   [kernel.kallsyms]    [k] netlink_has_listeners                     
     0.10%  server   [kernel.kallsyms]    [k] dequeue_task_fair                         
     0.10%  server   libc-2.19.so         [.] 0x0000000000082750                        
     0.10%  server   [kernel.kallsyms]    [k] do_softirq.part.19                        
     0.10%  server   [kernel.kallsyms]    [k] tcp_v4_destroy_sock                       
     0.10%  server   [kernel.kallsyms]    [k] ep_unregister_pollwait.isra.7             
     0.10%  server   [kernel.kallsyms]    [k] smp_call_function_many                    
     0.10%  server   [kernel.kallsyms]    [k] __ip_select_ident                         
     0.10%  server   [kernel.kallsyms]    [k] tcp_validate_incoming                     
     0.09%  server   [kernel.kallsyms]    [k] mutex_optimistic_spin                     
     0.09%  server   [kernel.kallsyms]    [k] skb_release_head_state                    
     0.09%  server   [kernel.kallsyms]    [k] sk_destruct                               
